,Month,Ford,Toyota,Honda,Hyundai,Mazda,Unemp_rate,Covid_cases,Total_Sales
0,Jan-16,172398,160774,100497,83316,19703,4.8,0,1147705
1,Feb-16,216792,187399,118986,102746,21544,4.9,0,1340801
2,Mar-16,253064,219173,138221,133589,23396,5,0,1590701
3,Apr-16,229739,210440,148829,118721,26192,5.1,0,1501379
4,May-16,234748,208657,147108,133932,27873,4.8,0,1520463
5,Jun-16,239096,197568,138715,130083,26188,4.9,0,1508662
6,Jul-16,215268,213551,152799,134972,27915,4.8,0,1517151
7,Aug-16,213410,212487,149571,126263,26109,4.9,0,1508095
8,Sep-16,203444,197260,133655,115830,24889,5,0,1428354
9,Oct-16,187692,186295,126161,111482,22711,4.9,0,1368064
10,Nov-16,196441,196645,122924,115011,22041,4.7,0,1375086
11,Dec-16,237785,243229,160387,125658,28754,4.7,0,1694258
12,Jan-17,171186,143048,106380,82129,21698,4.7,0,1140841
13,Feb-17,207464,174339,121686,95692,22824,4.6,0,1331716
14,Mar-17,234895,215224,137227,118699,24549,4.4,0,1553142
15,Apr-17,213436,201926,138116,116408,24164,4.5,0,1424793
16,May-17,240250,217829,148414,118518,26047,4.4,0,1517197
17,Jun-17,227166,201951,139793,110650,22342,4.3,0,1472495
18,Jul-17,199318,222146,150980,110466,27089,4.3,0,1415051
19,Aug-17,209029,227625,144208,107633,25846,4.4,0,1480526
20,Sep-17,221643,226632,142722,109474,25737,4.2,0,1523050
21,Oct-17,199698,188433,127353,97407,20811,4.1,0,1353586
22,Nov-17,210205,191617,133156,101513,21469,4.2,0,1397105
23,Dec-17,240910,222979,149317,106633,26893,4.1,0,1603063
24,Jan-18,160411,167056,104542,76871,24962,4,0,1156581
25,Feb-18,194062,182183,115557,86767,25731,4.1,0,1305932
26,Mar-18,243021,222782,142122,112183,33302,4,0,1657716
27,Apr-18,208109,192348,125701,106648,23056,4,0,1364619
28,May-18,241527,215321,153069,125518,29980,3.8,0,1576158
29,Jun-18,229537,209601,146563,120623,26893,4,0,1549950
30,Jul-18,192743,208770,138602,104864,24125,3.8,0,1373655
31,Aug-18,217700,223055,147906,111406,25816,3.8,0,1500121
32,Sep-18,196496,203098,132668,108862,21257,3.7,0,1440820
33,Oct-18,191682,191101,122182,109248,18673,3.8,0,1393137
34,Nov-18,195255,190423,120534,102601,20660,3.8,0,1399187
35,Dec-18,219632,220908,155115,113149,25870,3.9,0,1605973
36,Jan-19,188882,156021,106139,79396,20045,4,0,1172653
37,Feb-19,185353,172748,115139,90546,23852,3.8,0,1257589
38,Mar-19,208523,214947,148509,118442,26934,3.8,0,1552126
39,Apr-19,209639,183866,125775,108410,19702,3.7,0,1355548
40,May-19,241889,222174,145532,128496,25192,3.7,0,1606260
41,Jun-19,187511,202352,136101,122890,22828,3.6,0,1462664
42,Jul-19,189476,209204,141296,112331,23292,3.6,0,1417418
43,Aug-19,212214,248334,173993,126224,27482,3.7,0,1628577
44,Sep-19,174317,169656,113925,98129,18838,3.5,0,1282712
45,Oct-19,197153,188787,131443,109036,19520,3.6,0,1384010
46,Nov-19,204431,207857,133952,113272,24374,3.6,0,1445173
47,Dec-19,197144,207372,136566,117449,26491,3.6,0,1459164
48,Jan-20,167146,165865,101625,84498,23621,3.5,11,1157415
49,Feb-20,216395,194152,120006,106777,28385,3.5,55,1434716
50,Mar-20,131072,135730,77153,81500,15664,4.4,140574,912800
51,Apr-20,77815,71645,57751,66479,10940,14.8,863334,563122
52,May-20,172928,159210,120977,104696,24933,13.3,730066,1181756
53,Jun-20,181572,167174,114774,97090,25326,11.1,803596,1214706
54,Jul-20,192536,169484,115450,111413,24085,10.2,1850930,1336267
55,Aug-20,171144,191841,135925,116736,26089,8.4,1510938,1298489
56,Sep-20,185405,197124,127058,111437,24237,7.8,1177511,1370243
57,Oct-20,181820,205349,126987,114533,22736,6.9,1775715,1398735
58,Nov-20,148816,205765,102614,104003,21752,6.7,4230147,1199580
59,Dec-20,207951,249601,136467,123152,31308,6.7,6263913,1597958
60,Jan-21,142577,166232,92225,85269,25259,6.3,6329822,566113
61,Feb-21,162834,183051,106328,98527,21544,6.2,2498366,629748
